City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,san patricio,28.017,-97.5169,85.17,68,0,14.16,US,1696035898
84,chui,-33.6971,-53.4616,56.73,95,56,1.9,UY,1696035898
85,margate,51.3813,1.3862,56.3,80,100,1.01,GB,1696035604
86,isafjordur,66.0755,-23.124,38.44,90,97,4.94,IS,1696035898
87,porto novo,6.4965,2.6036,76.82,90,81,6.13,BJ,1696035642
88,tiksi,71.6872,128.8694,29.25,85,100,13.51,RU,1696035898
89,lebu,-37.6167,-73.65,51.08,90,3,11.56,CL,1696035898
90,udachny,66.4167,112.4,35.46,100,100,5.3,RU,1696035898
91,tosontsengel,48.7567,98.2839,31.87,73,26,0.43,MN,1696035898
92,kenai,60.5544,-151.2583,51.89,59,0,6.91,US,1696035898
93,edinburgh of the seven seas,-37.0676,-12.3116,51.76,90,100,33.51,SH,1696035899
94,kavaratti,10.5669,72.642,81.86,81,100,18.66,IN,1696035899
95,west island,-12.1568,96.8225,78.78,73,100,12.66,CC,1696035811
96,ribeira grande,38.5167,-28.7,67.77,92,100,8.99,PT,1696035899
97,kronstadt,45.6486,25.6061,59.04,78,10,5.01,RO,1696035899
98,kingston,17.997,-76.7936,85.15,97,20,6.91,JM,1696035774
99,freetown,8.484,-13.2299,80.31,83,75,4.61,SL,1696035899
100,linfen,36.0889,111.5189,67.59,18,5,5.19,CN,1696035899
101,sheregesh,52.9209,87.9869,43.61,99,100,2.75,RU,1696035899
102,burang,30.25,81.1667,39.11,70,4,3.91,CN,1696035899
103,iqaluit,63.7506,-68.5145,35.33,87,100,17.27,CA,1696035683
104,antigonish,45.6169,-61.9986,55.81,96,98,4.12,CA,1696035765
105,mount isa,-20.7333,139.5,85.77,26,0,14.97,AU,1696035900
106,mersa matruh,31.3525,27.2453,77.2,78,0,4.61,EG,1696035900
107,punta arenas,-53.15,-70.9167,44.71,61,0,5.75,CL,1696035614
108,aswan,24.0934,32.907,94.3,16,0,5.75,EG,1696035677
109,stanley,54.868,-1.6985,50.79,93,0,10.36,GB,1696035835
110,blackmans bay,-43.0167,147.3167,69.53,54,97,3.18,AU,1696035900
111,sao vicente,-23.9631,-46.3919,71.78,84,76,4.61,BR,1696035685
112,wailua homesteads,22.0669,-159.378,84.63,76,40,13.8,US,1696035900
113,port blair,11.6667,92.75,78.84,89,75,5.75,IN,1696035900
114,singa,13.15,33.9333,79.99,72,86,7.54,SD,1696035900
115,pachino,36.7186,15.0907,71.47,78,0,7.52,IT,1696035900
116,port elizabeth,-33.918,25.5701,59.09,82,0,4.61,ZA,1696035619
117,christchurch,-43.5333,172.6333,53.33,49,20,27.63,NZ,1696035856
118,glasgow,55.8652,-4.2576,52.99,85,40,3.44,GB,1696035643
119,richards bay,-28.783,32.0377,69.3,87,4,6.24,ZA,1696035901
120,vernon,50.2581,-119.2691,57.81,64,100,4.61,CA,1696035666
121,argo,37.6333,22.7333,67.78,58,11,3.62,GR,1696035901
122,talnakh,69.4865,88.3972,25.21,87,82,12.24,RU,1696035901
123,ripky,51.801,31.0838,52.11,58,7,4.7,UA,1696035901
124,katsuren-haebaru,26.3369,127.8719,84.58,89,75,6.91,JP,1696035901
125,kasempa,-13.4584,25.8338,72.01,48,77,1.83,ZM,1696035901
126,conceicao da barra,-18.5933,-39.7322,73.24,76,100,9.51,BR,1696035817
127,college,64.8569,-147.8028,46.2,56,75,3.44,US,1696035902
128,minas de marcona,-15.2119,-75.1103,57.52,84,61,10.83,PE,1696035902
129,crane,31.3974,-102.3501,81.48,43,45,16.13,US,1696035902
130,vila franca do campo,37.7167,-25.4333,73.81,99,100,10.27,PT,1696035902
131,tamanrasset,22.785,5.5228,78.71,22,40,10.36,DZ,1696035661
132,tura,25.5198,90.2201,74.79,97,100,3.22,IN,1696035902
133,sitka,57.0531,-135.33,51.69,71,100,3.44,US,1696035902
134,tidjikja,18.5564,-11.4271,90.41,21,14,6.67,MR,1696035903
135,prince rupert,54.3161,-130.3201,53.29,80,0,14.97,CA,1696035707
136,tibro,58.4245,14.1616,53.76,92,40,5.01,SE,1696035903
137,stayton,44.8007,-122.7945,59.92,91,100,3.56,US,1696035832
138,bataipora,-22.2953,-53.2711,79.99,48,39,4.12,BR,1696035698
139,brady,31.1352,-99.3351,85.53,34,0,4.61,US,1696035750
140,saint-joseph,-21.3667,55.6167,68.47,72,0,8.32,RE,1696035903
141,churapcha,62.0025,132.4325,36.73,45,98,3.78,RU,1696035903
142,brookings,44.3114,-96.7984,68.34,93,100,10.36,US,1696035882
143,byron bay,-28.65,153.6167,80.71,59,0,11.83,AU,1696035904
144,namibe,-15.1961,12.1522,63.86,88,10,8.16,AO,1696035904
145,hawaiian paradise park,19.5933,-154.9731,83.71,74,40,9.22,US,1696035904
146,izluchinsk,60.9794,76.9242,30.99,82,7,10.0,RU,1696035904
147,fort bragg,35.139,-79.006,69.35,85,75,0.0,US,1696035905
148,hithadhoo,-0.6,73.0833,81.99,78,50,14.38,MV,1696035905
149,qaqortoq,60.7167,-46.0333,36.9,72,5,5.39,GL,1696035905
150,antsiranana,-12.2787,49.2917,72.34,81,26,14.41,MG,1696035905
151,santa helena de goias,-17.8136,-50.5969,82.38,55,41,2.48,BR,1696035651
152,suva,-18.1416,178.4415,76.48,61,75,10.36,FJ,1696035823
153,ust-nera,64.5667,143.2,29.62,71,23,4.83,RU,1696035905
154,karratha,-20.7377,116.8463,90.66,19,88,16.91,AU,1696035905
